"id","firstName","lastName","role","email","isActive","employeeId","responseTimeHours","category","searchText","createdAt","createdBy","updatedAt","updatedBy"
"UmVzcG9uc2libGVUZWFtOjEyMzQ1Njc4LWFiY2QtZWZnaC1pamtsLW1ub3AtcXJzdA==","Frances","Allen","Technical Delivery Manager","frances.allen@email.com",true,1001,4.5,"Data Security","Frances Allen Technical Delivery Manager frances.allen@email.com Data Security Cloud Security Privacy","2025-12-16T23:31:08.332221+00:00","barbara.liskov@email.com","2026-01-16T19:52:47.710913+00:00","yao.jessica@email.com"
"UmVzcG9uc2libGVUZWFtOjIyMzQ1Njc4LWJiY2QtZmZnaC1ramxrLW5ubm8tcHJwcg==","Grace","Hopper","Cloud Security Lead","grace.hopper@email.com",true,1002,2,"Secure Development","Grace Hopper Cloud Security Lead grace.hopper@email.com Cloud Security Secure Development Security Monitoring","2025-12-16T23:31:08.465520+00:00","ada.lovelace@email.com","2026-01-16T19:52:47.766265+00:00","linus.torvalds@email.com"
"UmVzcG9uc2libGVUZWFtOjMzMzQ1Njc4LWNjY2QtZ2dnaC1sbGxtLW9vb28tdHR0dA==","Alan","Turing","Security Governance Director","alan.turing@email.com",true,1003,6,"Organizational Security","Alan Turing Security Governance Director alan.turing@email.com Organizational Security Data Security Security Monitoring","2025-12-16T23:31:08.453040+00:00","system@cyqu.com","2026-01-16T19:52:47.760245+00:00","grace.hopper@email.com"
"UmVzcG9uc2libGVUZWFtOjQ0NDQ1Njc4LWRkZGQtaGhpaC1tbW1tLXBwcHAtdXV1dQ==","Tim","Berners-Lee","Engineering Security Manager","tim.berners-lee@email.com",false,1004,8.5,"Secure Development","Tim Berners-Lee Engineering Security Manager tim.berners-lee@email.com Secure Development Cloud Security","2025-12-16T23:31:08.477068+00:00","system@cyqu.com","2026-01-16T19:52:47.772752+00:00","guido.vanrossum@email.com"
"UmVzcG9uc2libGVUZWFtOjU1NTU1Njc4LWVlZWUtaWlpaS1ubm5uLXRycnItd2F3YQ==","Barbara","Liskov","Data Protection Officer","barbara.liskov@email.com",true,1005,3,"Data Security","Barbara Liskov Data Protection Officer barbara.liskov@email.com Data Security Privacy","2025-12-16T23:31:08.332221+00:00","system@cyqu.com","2026-01-16T19:52:47.710913+00:00","frances.allen@email.com"
"UmVzcG9uc2libGVUZWFtOjY2NjY1Njc4LWZmZmYtampqai1wb3BwLXh5eno=","Ada","Lovelace","Infrastructure Architect","ada.lovelace@email.com",true,1006,5.5,"Cloud Security","Ada Lovelace Infrastructure Architect ada.lovelace@email.com Cloud Security Business Continuity Security Monitoring","2025-12-16T23:31:08.465520+00:00","system@cyqu.com","2026-01-16T19:52:47.766265+00:00","grace.hopper@email.com"
"UmVzcG9uc2libGVUZWFtOjc3Nzc1Njc4LWdnZ2cta2tray1xcXFxLXpqeno=","Margaret","Hamilton","Incident Response Lead","margaret.hamilton@email.com",true,1007,1.5,"Organizational Security","Margaret Hamilton Incident Response Lead margaret.hamilton@email.com Organizational Security Security Monitoring","2025-12-16T23:31:08.489535+00:00","system@cyqu.com","2026-01-16T19:52:47.779830+00:00","dennis.ritchie@email.com"
"UmVzcG9uc2libGVUZWFtOjg4ODg1Njc4LWhoaGgtbGxsbC1zdHN0LXd3d3c=","Donald","Knuth","Secure Development Lead","donald.knuth@email.com",true,1008,7,"Secure Development","Donald Knuth Secure Development Lead donald.knuth@email.com Secure Development","2025-12-16T23:31:08.525471+00:00","john.mccarthy@email.com","2026-01-16T19:52:47.801381+00:00","system@cyqu.com"
"UmVzcG9uc2libGVUZWFtOjk5OTk1Njc4LWtra2stbm5ubS16enp6LWFhYWE=","Shafi","Goldwasser","Privacy & Compliance Specialist","shafi.goldwasser@email.com",true,1009,4,"Privacy","Shafi Goldwasser Privacy & Compliance Specialist shafi.goldwasser@email.com Privacy Organizational Security","2025-12-31T16:47:02.587878+00:00","jean.bartik@email.com","2026-01-16T19:52:47.810628+00:00","system@cyqu.com"
"UmVzcG9uc2libGVUZWFtOjEwMTAxMDEwLW1ubm4tcnJyci16enp6LWJiYmI=","Martin","Fowler","Security Operations Manager","martin.fowler@email.com",true,1010,2.5,"Organizational Security","Martin Fowler Security Operations Manager martin.fowler@email.com Security Monitoring Cloud Security Organizational Security","2025-12-31T16:47:02.655987+00:00","robert.martin@email.com","2026-01-16T19:52:47.832747+00:00","system@cyqu.com"
